Discounted_Price,Actual_Price,Current_Discount,Rating,Sales,Type,Optimal_Discount
₹649,"₹1,999",68%,4.2,24269,Computers&Accessories,32.29853359257204
₹269,₹800,66%,3.6,10134,Computers&Accessories,29.344909675854876
"₹24,999","₹31,999",22%,4.2,34899,Electronics,18.883851375280216
₹299,₹699,57%,4.2,94363,Computers&Accessories,29.03935092689105
₹199,₹999,80%,4.1,425,Computers&Accessories,29.916844078715123
"₹18,990","₹40,990",54%,4.2,6659,Electronics,19.41224138994661
₹290,₹349,17%,3.7,1977,Computers&Accessories,27.891205793079493
₹249,₹799,69%,3.8,1079,Electronics,4.342274651411601
₹345,₹999,65%,3.7,1097,Computers&Accessories,29.916844078715123
"₹1,099","₹1,899",42%,4.5,22420,Computers&Accessories,32.091434659485685
₹719,"₹1,499",52%,4.1,1045,Computers&Accessories,31.199306373490053
₹349,"₹1,499",77%,4.3,4145,Electronics,6.199644513266533
₹849,"₹1,809",53%,4.3,6547,Computers&Accessories,31.8998445743918
₹299,₹899,67%,4.0,1588,Electronics,4.634601358897015
"₹21,999","₹29,999",27%,4.2,32840,Electronics,18.729402633847837
₹349,₹999,65%,4.2,13120,Computers&Accessories,29.916844078715123
₹399,₹999,60%,4.3,2806,Computers&Accessories,29.916844078715123
₹449,"₹1,299",65%,4.2,24269,Computers&Accessories,30.710753186866473
₹299,₹999,70%,4.3,766,Computers&Accessories,29.916844078715123
"₹37,999","₹65,000",42%,4.3,3587,Electronics,20.158055697404752
₹99,₹800,88%,3.9,24871,Computers&Accessories,29.344909675854876
"₹7,390","₹20,000",63%,4.1,2581,Electronics,17.586627125976186
₹273.10,₹999,73%,4.3,20850,Computers&Accessories,29.916844078715123
"₹15,990","₹23,990",33%,4.3,1035,Electronics,18.137161793102777
₹399,₹999,60%,4.1,1780,Computers&Accessories,29.916844078715123
₹399,"₹1,999",80%,4.5,505,Electronics,7.298871732348519
₹210,₹399,47%,4.1,1717,Computers&Accessories,28.06434047721656
"₹1,299","₹1,999",35%,3.6,590,Electronics,7.298871732348519
₹347,₹999,65%,3.5,1121,Computers&Accessories,29.916844078715123
₹149,₹999,85%,4.0,1313,Computers&Accessories,29.916844078715123
₹228,₹899,75%,3.8,132,Computers&Accessories,29.634263219120538
"₹1,599","₹1,999",20%,4.4,1951,Computers&Accessories,32.29853359257204
"₹1,499","₹3,999",63%,3.7,37,Electronics,10.47428130977438
"₹8,499","₹15,999",47%,4.3,592,Electronics,16.824495595903322
